***,Table 1  -  Status Points
22,"kvar, Pole 2 - Single - phase kvar on Pole 2 calculated using apparent power, true power, and phase angle. Each count equals one kvar."
23,"kvar, Pole 3 - Single - phase kvar on Pole 3 calculated using apparent power, true power, and phase angle. Each count equals one kvar."
24,"Total kvar - Sum of kvar Pole 1, kvar Pole 2, and kvar Pole 3. Each count equals one kvar."
25,"Power Factor, Pole 1 - Single - phase power factor measured on Pole 1 reported as the cosine of the phase angle. Each count equals 0.001. For lagging angles, the power factor is reported as 0 to 2000 corresponding to angles from 180 to 0. For leading angles, the power factor is reported as 2000 to 0 corresponding to angles from  - 180 to 0."
26,"Power Factor, Pole 2 - Single - phase power factor measured on Pole 2 reported as the cosine of the phase angle. Each count equals 0.001. For lagging angles, the power factor is reported as 0 to 2000 corresponding to angles from 180 to 0. For leading angles, the power factor is reported as 2000 to 0 corresponding to angles from  - 180 to 0."
27,"Power Factor, Pole 3 - Single - phase power factor measured on Pole 3 reported as the cosine of the phase angle. Each count equals 0.001. For lagging angles, the power factor is reported as 0 to 2000 corresponding to angles from 180 to 0. For leading angles, the power factor is reported as 2000 to 0 corresponding to angles from  - 180 to 0."
28,Power Factor Angle of Pole 1 - Angle cosine that is the power factor. Each count equals one - eighth of a degree.
29,Power Factor Angle of Pole 2 - Angle cosine that is the power factor. Each count equals one - eighth of a degree.
30,Power Factor Angle of Pole 3 - Angle cosine that is the power factor. Each count equals one - eighth of a degree.
31,"Total Harmonic Distortion - Pole 1, X Side Voltage - Each count equals 0.1%."
32,"Total Harmonic Distortion - Pole 2, X Side Voltage - Each count equals 0.1%."
33,"Total Harmonic Distortion - Pole 3, X Side Voltage - Each count equals 0.1%."
34,"Total Harmonic Distortion - Pole 1, Y Side Voltage - Each count equals 0.1%."
35,"Total Harmonic Distortion - Pole 2, Y Side Voltage - Each count equals 0.1%."
36,"Total Harmonic Distortion - Pole 3, Y Side Voltage - Each count equals 0.1%."
37,"Total Harmonic Distortion - Pole 1, Current - Each count equals 0.1%."
38,"Total Harmonic Distortion - Pole 2, Current - Each count equals 0.1%."
39,"Total Harmonic Distortion - Pole 3, Current - Each count equals 0.1%."
40,Line Frequency - Each count equals 0.01 Hz.
41,Temperature - The most recent temperature reading. Each count equals one degree Fahrenheit.
42,Number of Pole 1 Opening Operations - Number of interrupter operations on Pole 1 incremented on each Open operation.
43,Number of Pole 2 Opening Operations - Number of interrupter operations on Pole 2 incremented on each Open operation.
44,Number of Pole 3 Opening Operations - Number of interrupter operations on Pole 3 incremented on each Open operation.
45,Number of Pole 1 Closing Operations - Number of interrupter operations on Pole 1 incremented on each Close operation.
46,Number of Pole 2 Closing Operations - Number of interrupter operations on Pole 2 incremented on each Close operation.
47,Number of Pole 3 Closing Operations - Number of interrupter operations on Pole 3 incremented on each Close operation.
48,Number of Pole 1 Pulse Operations - Number of interrupter operations on Pole 1 incremented on each operation using PulseCloseing Technology.
49,Number of Pole 2 Pulse Operations - Number of interrupter operations on Pole 2 incremented on each operation using PulseCloseing Technology.
50,Number of Pole 3 Pulse Operations - Number of interrupter operations on Pole 3 incremented on each operation using PulseCloseing Technology.
51,"Phase Angle, X Side Voltage to Y Side Voltage, Pole 1 - Phase angle in degrees between the X side and Y side voltage signals. A positive value indicates that the X side is leading. Each count equals one - eighth degree."
52,"Phase Angle, X Side Voltage to Y Side Voltage, Pole 2 - Phase angle in degrees between the X side and Y side voltage signals. A positive value indicates that the X side is leading. Each count equals one - eighth degree."
53,"Phase Angle, X Side Voltage to Y Side Voltage, Pole 3 - Phase angle in degrees between the X side and Y side voltage signals. A positive value indicates that the X side is leading. Each count equals one - eighth degree."
54,Analog Communication Test - Displays the value sent to analog output point 5. The initial state at powerup is zero.
55,"Total kVA - Sum of kVA Pole 1, kVA Pole 2, and kVA Pole 3. Each count equals one kVA."
56,"Total Power Factor - Sum of kW Pole 1, kW Pole 2, and kW Pole 3 divided by the sum of kVA Pole 1, kVA Pole 2, and kVA Pole 3. Each count equals 0.001 with a 1000 offset (0 =  - 1.0 PF, 1000 = 0.0 PF, 2000 = 1.0 PF)."
57,"Latched Overcurrent, Pole 1 - Current at time of trip for the last overcurrent or tandem protective element that tripped and opened this pole, including a Sectionalizing trip, regardless of which phase caused the trip. Cleared when this pole is manually closed (by a local command, a SCADA command, or IntelliLink software command) or by issuing a Clear Trip Indicators (control point 44) command. Each count equals one ampere."
58,"Latched Overcurrent, Pole 2 - Current at time of trip for the last overcurrent or tandem protective element that tripped and opened this pole, including a Sectionalizing trip, regardless of which phase caused the trip. Cleared when this pole is manually Closed (by a local command, a SCADA command, or IntelliLink software command) or by issuing a Clear Trip Indicators (control point 44) command. Each count equals one ampere."
59,"Latched Overcurrent, Pole 3 - Current at time of trip for the last overcurrent or tandem protective element that tripped and opened this pole, including a Sectionalizing trip, regardless of which phase caused the trip. Cleared when this pole is manually Closed (by a local command, a SCADA command, or IntelliLink software command) or by issuing a Clear Trip Indicators (control point 44) command. Each count equals one ampere."
60,Delta Frequency - The difference in frequency between the X and Y sides. Reports X frequency minus Y frequency. Therefore a positive value indicates higher frequency on the X side and a negative value indicates higher frequency on the Y side. Each count equals 0.01 Hz.
61,"Averaged Current, Pole 1 - Single - phase time - averaged current measured on Pole 1. 30 samples are averaged for the last 15 minutes and each count equals one ampere. When the Open - Source Sectionalizing element is set to the Yes setting, IntelliTeam SG or Loops Only, the current average will latch when the IntelliRupter fault interrupter is closed and the voltage has dropped below the Open Source Voltage Threshold setpoint. It will remain latched while the Open -  Source Sectionalizing element is timing. If the Open - Source Sectionalizing element trips it will remain latched until the trip indication is cleared by closing the IntelliRupter fault interrupter or control point 44 is received. When the latch is cleared the average current will resume averaging from the latched value. Otherwise the current average will update normally. When the Open - Source Sectionalizing element is set to the No setting, samples will be collected when the IntelliRupter fault interrupter is open or closed. This value updates each time a new sample is processed and will never be latched."
62,"Averaged Current, Pole 2 - Single - phase time - averaged current measured on Pole 2. Same as Analog Input Point 61."
63,"Averaged Current, Pole 3 - Single - phase time - averaged current measured on Pole 3. Same as Analog Input Point 61."
64,"Averaged Residual Current - Vector sum of the fundamental power - frequency current on Poles 1, 2, and 3. 30 samples are averaged for the last 15 minutes and each count equals one ampere. When the Open - Source Sectionalizing feature is set to the Yes, IntelliTeam SG or Loops Only setting, the current average will latch when the IntelliRupter fault interrupter is closed and the voltage has dropped below the Open Source Voltage Threshold setting. It will remain latched while the Open - Source Sectionalizing Element is timing. If the Open - Source Sectionalizing Element trips it will remain latched until the trip indication is cleared by closing the IntelliRupter fault interrupter or control point 44 is received. When the latch is cleared, the average current will resume averaging from the latched value. Otherwise the current average will be updating. When the Open - Source Sectionalizing feature is set to the No setting, samples will be collected when the IntelliRupter fault interrupter is open or closed. This value will update each time a new sample is processed and will not be latched."
65,"Fault Current Ground Time of Trip - This is the ground current at time of trip for the last ground overcurrent or tandem protective element that tripped. Cleared when the tripped pole or poles are manually closed (locally, via SCADA or IntelliLink Remote) or by issuing a Clear Trip Indicators (Control Point 44) command. Each count equals one ampere."
66,Leakage Current Time Pole 1 - This shows the accumulated time for the Pole 1 Definite Time Delay element for the Open Vacuum Bottle Leakage detection algorithm.
67,Leakage Current Time Pole 2 - This shows the accumulated time for the Pole 2 Definite Time Delay element for the Open Vacuum Bottle Leakage detection algorithm.
68,Leakage Current Time Pole 3 - This shows the accumulated time for the Pole 3 Definite Time Delay element for the Open Vacuum Bottle Leakage detection algorithm.
***,Table 3  -  Analog Output Points
Code,Name - Definition
1,Application Layer Confirmation Retry Time - Time (100 to 65535 ms.) the IntelliRupter fault interrupter will wait for an application layer confirmation to an event response message before resending the request for confirmation.①
2,Application Layer Confirmation Retry Count - Number of times (0 to 10) the IntelliRupter fault interrupter will send an event response message if a confirmation is not received.
3,"Control Point Select Time - During a select - before - operate procedure the time (10 to 1000 tenths of a second) allowed to elapse between receiving the select function for a point and receiving the operate function for it. If an operate function is not received within this period, the point is un - selected; another select function is required before the point will operate."
4,Real - Time Feeder Loading - Total averaged three - phase feeder loading (in amperes) measured at the source breaker. This value is used to determine if the load can be transferred to another source. Each count equals one ampere.
5,Analog Communication Test - Accepts a value that reports back through analog input point 54.
***,Table 4  -  Control Points
Code,Name - Definition
1,Open IntelliRupter Fault Interrupter - SCADA - This command opens all closed poles.
2,Close IntelliRupter Fault Interrupter - SCADA - This command closes all open poles.
3,General Profile 1 - SCADA - Enables General Profile 1.
4,General Profile 2 - SCADA - Enables General Profile 2.
5,General Profile 3 - SCADA - Enables General Profile 3.
6,General Profile 4 - SCADA - Enables General Profile 4.
7,Enable/Disable Hot Line Tag - SCADA - Enables or disables the Hot Line Tag profile.
8,Reserved.
9,"Start Battery Test - SCADA - Begins a battery test cycle. If ac power is available, the battery charger is disconnected for several minutes during the test. If ac power is not available, a brief impedance test is used to evaluate the battery condition."
10,Clear Errors - SCADA - Clears all error flags. Alarms and warnings are not affected.
11,Enable/Block Ground Trip - Enables or blocks the Ground Trip feature.
12,Enable/Block Sensitive Earth Trip - Enables or blocks the Sensitive Earth Trip feature.
13,Enable/Block Circuit Testing - Enables or blocks the Circuit Testing feature.
14,Reserved.
15,Enable/Block Test on Backfeed - Enables or blocks the Test on Backfeed feature.
16,Reserved.
17,Turn On/Off Second Closing Profile - Enables or blocks the Second Closing profile.
18,Reserved.
19,Execute Waveform Capture - This command initiates a waveform capture. It can also be issued by the button on the Log Management screen.
20,Wi - Fi Test - Activates the Wi - Fi beacon transmitter for troubleshooting purposes.
21,Clear Wi - Fi Intrusion Alarm - Clears an active Wi - Fi Intrusion alarm.
22,IntelliTeam Prohibit Restoration - Prevents the IntelliRupter fault interrupter and other devices in any team in which this IntelliRupter fault interrupter is a member from automatically closing to restore load.
23,IntelliTeam Clear Manual Operation - SCADA - Clearing the manual operation allows the IntelliTeam system to return to the Ready state provided the IntelliRupter fault interrupter contacts are in the correct IntelliTeam Normally Open or Normally Closed state.
24,"Open/Close IntelliRupter Fault Interrupter - SCADA - When the Open or Closed state of the poles is mismatched, an Open command will open all poles or a Close command will close all poles. If SCADA sends this command without specifying “Open” or “Close,” the IntelliRupter fault interrupter will ignore it."
25,Enable/Disable Loop Restoration - SCADA - Enables or disables Loop Restoration functionality.
26,"Enable/Block Single Phase Operation - SCADA - When enabled, it allows Single - Phase commands and Automatic operation according to the active General Profile configuration. When blocked, all automatic operations or SCADA commands will be executed three - phase, and any Single - Phase SCADA command will be rejected."
27,Open Pole 1 - SCADA - This command opens only Pole 1.
28,Open Pole 2 - SCADA - This command opens only Pole 2.
29,Open Pole 3 - SCADA - This command opens only Pole 3.
30,Close Pole 1 - SCADA - This command closes only Pole 1.
31,Close Pole 2 - SCADA - This command closes only Pole 2.
32,Close Pole 3 - SCADA - This command closes only Pole 3.
33,Open/Close Pole 1 - SCADA - This single command opens or closes only Pole 1.
34,Open/Close Pole 2 - SCADA - This single command opens or closes only Pole 2.
35,Open/Close Pole 3 - SCADA - This single command opens or closes only Pole 3.
36,"Netlist Propagation Enable/Disable - In the Enabled state, allows new Netlist requests and Netlist transmissions. In the Disabled state, multiple downloads of a Netlist can be sent to a local control. (Starting with Revision 7.1.x, the Netlist Propagation mode is always in the Enabled state, therefore this control point does not operate.)"
37,"PulseClose Test - This command initiates a three - phase test using PulseClosing Technology. This command forces an operation where a pulse tests the line regardless of the cross - pole voltage or the state of the Test on Backfeed control. When the test is executed, a PulseTest operation is followed by a Close operation if a fault is not detected. The Close operation executes without point - on - wave control."
38,"PulseClose Test Pole 1 - This command initiates a single - phase test using PulseClosing Technology on pole 1 only. This command forces an operation where a pulse tests the line regardless of the cross - pole voltage or the state of the Test on Backfeed control. When the test is executed, an operation where a pulse tests the line is followed by a Close operation if a fault is not detected. The Close operation executes without point - on - wave control."
39,"PulseClose Test Pole 2 - This command initiates a single - phase test using PulseClosing Technology on pole 2 only. This command forces an operation where a pulse tests the line regardless of the cross - pole voltage or the state of the Test on Backfeed control. When the test is executed, an operation where a pulse tests the line is followed by a Close operation if a fault is not detected. The Close operation executes without point - on - wave control."
40,"PulseClose Test Pole 3 - This command initiates a single - phase test using PulseClosing Technology on pole 3 only. This command forces an operation where a pulse tests the line regardless of the cross - pole voltage or the state of the Test on Backfeed control. When the test is executed, an operation where a pulse tests the line is followed by a Close operation if a fault is not detected. The Close operation executes without point - on - wave control."
41,Communication Test - This command changes the state of the Communication Test status point 99 each time the control point 41 message is received.
42,Wi - Fi Disable - This command disables local Wi - Fi communication.
43,Wi - Fi Enable - This command enables local Wi - Fi communication.
44,Clear Trip Indicators  -  This command clears the points listed below if they are set when it is received.
**44**,***Status Points Cleared***
**44**,31 - Trip on Loss of EnergyTrip on Loss of Energy
**44**,"35 - Overcurrent Current Trip, Pole 1Overcurrent Current Trip, Pole 1"
**44**,"36 - Overcurrent Current Trip, Pole 2Overcurrent Current Trip, Pole 2"
**44**,"37 - Overcurrent Current Trip, Pole 3Overcurrent Current Trip, Pole 3"
**44**,"38 - Overcurrent Trip, Any PoleOvercurrent Trip, Any Pole"
**44**,39 - Tripped to LockoutTripped to Lockout
**44**,41 - Voltage TripVoltage Trip
**44**,43 - Frequency TripFrequency Trip
**44**,45 - Sectionalizing TripSectionalizing Trip
**44**,54 - Close Blocked by Synch CheckClose Blocked by Synch Check
**44**,55 - Pulse Detected a FaultPulse Detected a Fault
**44**,61 - IntelliTeam Fault Pole 1IntelliTeam Fault Pole 1
**44**,62 - IntelliTeam Fault Pole 2IntelliTeam Fault Pole 2
**44**,63 - IntelliTeam Fault Pole 3IntelliTeam Fault Pole 3
**44**,77 - Overcurrent Trip - Sensitive Earth FaultOvercurrent Trip - Sensitive Earth Fault
**44**,78 - Tripped to Lockout SEF Tripped to Lockout SEF
**44**,"85 - Close Blocked, Pulse UnavailableClose Blocked, Pulse Unavailable"
**44**,88 - Tripped to Lockout - Pole 1Tripped to Lockout - Pole 1
**44**,89 - Tripped to Lockout - Pole 2Tripped to Lockout - Pole 2
**44**,90 - Tripped to Lockout - Pole 3Tripped to Lockout - Pole 3
**44**,91 - Pulse Detected Fault - Pole 1 Pulse Detected Fault - Pole 1
**44**,92 - Pulse Detected Fault - Pole 2 Pulse Detected Fault - Pole 2
**44**,93 - Pulse Detected Fault - Pole 3 Pulse Detected Fault - Pole 3
**44**,"111 - Close Blocked, Insufficient EnergyClose Blocked, Insufficient Energy"
**44**,115 - Ground Overcurrernt TripGround Overcurrernt Trip
**44**,116 - Negative Sequence Overcurrent TripNegative Sequence Overcurrent Trip
**44**,117 - Definite Time Overcurrent Trip
**44**,119 - Overcurrent Fault DetectedOvercurrent Fault Detected
**44**,"121 - LoopRest Cls Blk’d, UnderFreqLoopRest Cls Blk’d, UnderFreq"
**44**,122 - Any Automatic Timer in ProgressAny Automatic Timer in Progress
**44**,***Analog Input Points Set To Zero***
**44**,"14 - Fault Current, Pole 1, Time of Trip"
**44**,"15 - Fault Current, Pole 2, Time of Trip"
**44**,"16 - Fault Current, Pole 3, Time of Trip"
**44**,"57 - Latched Overcurrent, Pole 1"
**44**,"58 - Latched Overcurrent, Pole 2"
**44**,"59 - Latched Overcurrent, Pole 3"
**44**,"61 - Averaged Current, Pole 1"
**44**,"62 - Averaged Current, Pole 2"
**44**,"63 - Averaged Current, Pole 3"
**44**,64 - Averaged Residual Current
45,Wi - Fi Enable/Disable - Toggles the state of local Wi - Fi communication.
46,Clear Latched Overcurrent Status - Clears the Latch Overcurrent status point 119 if it is set when this command is received.
47,Clear Warnings - SCADA - Clears all warning flags. Errors and alarms are not affected. The Active Warnings function will reassert in approximately one second.
48,Clear Alarms - SCADA - Clears all alarm flags. Errors and warnings are not affected. The Active Alarms function will reassert in approximately one second.
49,"Pulse Test - This command initiates a three - phase test using PulseClosing Technology, which executes a point - on - wave pulse and inverse pulse to evaluate the line. The interrupters will remain open at the end of the test. No action is taken when the test does not find a fault. When a fault is detected by both pulses, the message “Fault - Pulseclosing” is displayed on the Operation screen, and the corresponding status points 55, 91, 92, and 93 are set."
50,Pulse Test Pole 1 - This command initiates a single - phase test using PulseClosing Technology on pole 1 that executes a point - on - wave pulse and inverse pulse. The interrupter will remain open at the end of the test. See control point 49 for fault indications.
51,Pulse Test Pole 2 - This command initiates a single - phase test using PulseClosing Technology on pole 2 that executes a point - on - wave pulse and inverse pulse. The interrupter will remain open at the end of the test. See control point 49 for fault indications.
52,Pulse Test Pole 3 - This command initiates a single - phase test using PulseClosing Technology on pole 3 that executes a point - on - wave pulse and inverse pulse. The interrupter will remain open at the end of the test. See control point 49 for fault indications.
53,"Enable/Block Open Source Sectionalizing - When the Open - Source Sectionalizing element is set to the Yes, IntelliTeam SG, or Loop Only setting, this command will enable or disable the Open - Source Sectionalizing element. When the Open - Source Sectionalizing element is set to the Yes, IntelliTeam SG, or Loop Only setting, the Open - Source Sectionalizing element will default to enabled after a control restart."
54,Clear IntelliLink Intrusion - This command clears the IntelliLink Intrusion status point.
55,Clear Remote PR Status - This command clears the Prohibit Restoration Remotely Transmitted status point. Control point = 0x1F00
56,Clear Remote Enable Restoration Status - This command clears the Enable Restoration Remotely Transmitted status point. Control point = 0x1F01
57,"Remote Transmit Enable Restoration - When received, the device clears the Prohibit Restoration state locally (only if Hot Line Tag, Frequency Trip, or Manual Operation states are not active) and then sends a Clear Prohibit Restoration command to all devices in the Remote Prohibit Restoration Transmit List ***Table. The Enable Remote Transmit from SCADA P.R. setting must be enabled to perform this action. Control point = 0x1F02"
58,"Initiate Transfer Trip - This command sets the Transfer Trip state on a single device. The device issues a command to Open the switch in Automatic mode (not a manual operation) and verifies the operation. If an Open state is confirmed, the device then activates the Prohibit Restoration state on the team facing the DG source (unless it’s a DG team) to prevent restoration of that line segment. For the Prohibit Restoration state to be set, the receiving device must be an S&C switch control that is part of an IntelliTeam SG system. SW1 = 0x202, SW2 = 0x203"
59,"Enable/Disable Transfer Trip - When enabled, the local device sends an Initiate Transfer Trip command to all non - zero RTU addresses in the Remote Transfer Trip Transmit List ***Table when placed in an Open and Lockout state because of a Protection or Automatic Sectionalizing event. When disabled, no condition will result in sending an Initiate Transfer Trip command to remote devices. Control point = 0x1F03"
60,"Enable/Disable Remote PR from Local - When enabled, a local Prohibit Restoration command (via the front panel or IntelliLink software screen) will place the device in a Prohibit Restoration state and then transmit the Prohibit Restoration command to all devices in the Remote Prohibit Restoration Transmit list. Control point = 0x1F04"
61,"Enable/Disable Remote PR from SCADA - When enabled, the device will enter a Prohibit Restoration state and then transmit a Prohibit Restoration command to all devices in the Remote Prohibit Restoration Transmit list if any the following states are active: Hot Line Tag, Frequency Trip, or Manual Operation, or if the Prohibit Restoration state is activated from a SCADA command. Control point = 0x1F05"
